__Item number__,__Cable part number__,__Source device description__,__Source label__,__Destination device description__,__Destination label__
1,ib-cable,Blade system placed at U1 - data module 5 - port 1,U1_DMO5_P1,Infiniband switch placed at U44 - port 1,U44_P1
2,ib-cable,Blade system placed at U1 - data module 6 - port 1,U1_DMO6_P1,Infiniband switch placed at U44 - port 2,U44_P2
3,ib-cable,Blade system placed at U1 - data module 5 - port 2,U1_DMO5_P2,Infiniband switch placed at U45 - port 1,U45_P1
4,ib-cable,Blade system placed at U1 - data module 6 - port 2,U1_DMO6_P2,Infiniband switch placed at U45 - port 2,U45_P2
5,fc-cable,Blade system placed at U1 - data module 3 - port 1,U1_DMO3_P1,SAN switch placed at U46 - FC port 1,U46_P1
6,fc-cable,Blade system placed at U1 - data module 4 - port 1,U1_DMO4_P1,SAN switch placed at U46 - FC port 2,U46_P2
7,fc-cable,Blade system placed at U1 - data module 3 - port 2,U1_DMO3_P2,SAN switch placed at U47 - FC port 1,U47_P1
8,fc-cable,Blade system placed at U1 - data module 4 - port 2,U1_DMO4_P2,SAN switch placed at U47 - FC port 2,U47_P2
9,RJ45,Blade system placed at U1 - management module 1,U1_MGMT1,LAN switch placed at U48 - Ethernet port 1,U48_P1
10,RJ45,Blade system placed at U1 - management module 2,U1_MGMT2,LAN switch placed at U48 - Ethernet port 2,U48_P2
11,RJ45,Blade system placed at U1 - data module 1 - port 1,U1_DMO1_P1,LAN switch placed at U49 - Ethernet port 1,U49_P1
12,RJ45,Blade system placed at U1 - data module 2 - port 1,U1_DMO2_P1,LAN switch placed at U49 - Ethernet port 2,U49_P2
13,RJ45,Blade system placed at U1 - data module 1 - port 2,U1_DMO1_P2,LAN switch placed at U50 - Ethernet port 1,U50_P1
14,RJ45,Blade system placed at U1 - data module 2 - port 2,U1_DMO2_P2,LAN switch placed at U50 - Ethernet port 2,U50_P2
15,RJ45,UPS placed at U11 - management port,U11_MGMT,LAN switch placed at U48 - Ethernet port 9,U48_P9
16,RJ45,Horizontal PDU placed at U15 - management port,U15_HPDU_MGMT,LAN switch placed at U48 - Ethernet port 10,U48_P10
